bin_left,bin_right,count,fraction
-14.54998779296875,-14.274334907531738,176,3.913467540366084e-06
-14.274334907531738,-13.998682975769043,666,1.4808916942521657e-05
-13.998682975769043,-13.723030090332031,1197,2.661602639669433e-05
-13.723030090332031,-13.447378158569336,1397,3.1063148601655785e-05
-13.447378158569336,-13.171725273132324,1216,2.7038503006165668e-05
-13.171725273132324,-12.896073341369629,1472,3.273081942851633e-05
-12.896073341369629,-12.620420455932617,1616,3.593274741608859e-05
-12.620420455932617,-12.344768524169922,1963,4.364850444169671e-05
-12.344768524169922,-12.06911563873291,1979,4.4004274218093634e-05
-12.06911563873291,-11.793462753295898,2127,4.7295144649765114e-05
-11.793462753295898,-11.517810821533203,2252,5.007459602786602e-05
-11.517810821533203,-11.242157936096191,2803,6.232641770253485e-05
-11.242157936096191,-10.966506004333496,2641,5.872424871651606e-05
-10.966506004333496,-10.690853118896484,2358,5.24315707964956e-05
-10.690853118896484,-10.415201187133789,2291,5.094178485783351e-05
-10.415201187133789,-10.139548301696777,2358,5.24315707964956e-05
-10.139548301696777,-9.863895416259766,2517,5.596703294943996e-05
-9.863895416259766,-9.58824348449707,2754,6.123687276231928e-05
-9.58824348449707,-9.312591552734375,2513,5.5878090505340726e-05
-9.312591552734375,-9.036938667297363,2427,5.39658279572073e-05
-9.036938667297363,-8.761285781860352,2712,6.0302977099277376e-05
-8.761285781860352,-8.485633850097656,2975,6.61509427988017e-05
-8.485633850097656,-8.209980964660645,3442,7.65349731473867e-05
-8.209980964660645,-7.934328556060791,4062,9.032105198276723e-05
-7.934328556060791,-7.6586761474609375,8745,0.00019445041841193976
-7.6586761474609375,-7.383023738861084,9708,0.0002158633118288292
-7.383023738861084,-7.1073713302612305,10202,0.00022684770367508401
-7.1073713302612305,-6.831718444824219,10512,0.00023374074309277427
-6.831718444824219,-6.556066036224365,11029,0.00024523655399259965
-6.556066036224365,-6.280413627624512,11562,0.0002570881346688219
-6.280413627624512,-6.004761695861816,13603,0.0003024710167704536
-6.004761695861816,-5.729108810424805,26236,0.0005833734908468442
-5.729108810424805,-5.453455924987793,32536,0.0007234578403031301
-5.453455924987793,-5.177803993225098,33387,0.0007423803452852411
-5.177803993225098,-4.902151107788086,30657,0.0006816771271875171
-4.902151107788086,-4.626499176025391,32064,0.0007129626318994211
-4.626499176025391,-4.350846290588379,34854,0.0007749999866586333
-4.350846290588379,-4.075194358825684,38069,0.0008464874761033889
-4.075194358825684,-3.799541473388672,41648,0.0009260687279611741
-3.799541473388672,-3.5238895416259766,42731,0.0009501498947010404
-3.5238895416259766,-3.248236656188965,45092,0.0010026481723306104
-3.248236656188965,-2.972583770751953,49799,0.0011073111934243784
-2.972583770751953,-2.696931838989258,59695,0.0013273548001258714
-2.696931838989258,-2.421278953552246,68614,0.0015256742148561275
-2.421278953552246,-2.145627021789551,71166,0.0015824194941914359
-2.145627021789551,-1.869974136352539,88512,0.001968118403027743
-1.869974136352539,-1.5943222045898438,118086,0.002625714363475394
-1.5943222045898438,-1.318669319152832,164384,0.003655178682701922
-1.318669319152832,-1.0430164337158203,214019,0.004758843235918232
-1.0430164337158203,-0.767364501953125,387321,0.008612319097739386
-0.767364501953125,-0.4917116165161133,788076,0.01752335139398603
-0.4917116165161133,-0.21605968475341797,6798002,0.15115772821786203
-0.21605968475341797,0.05959320068359375,34073149,0.7576372875543016
0.05959320068359375,0.33524513244628906,836664,0.01860373526245937
0.33524513244628906,0.6108980178833008,280592,0.006239134568672728
0.6108980178833008,0.8865509033203125,149663,0.003327848252805734
0.8865509033203125,1.1622028350830078,101269,0.0022517780928712097
1.1622028350830078,1.4378557205200195,70385,0.0015650534819810612
1.4378557205200195,1.7135086059570312,44802,0.0009961998451334163
1.7135086059570312,1.9891605377197266,22725,0.0005053042605387458
1.9891605377197266,2.264812469482422,14619,0.0003250623975716578
2.264812469482422,2.540464401245117,12126,0.0002696290192868132
2.540464401245117,2.8161182403564453,12236,0.00027207493649954206
2.8161182403564453,3.0917701721191406,10757,0.00023918846779385204
3.0917701721191406,3.367422103881836,8331,0.00018524487544766956
3.367422103881836,3.643075942993164,5768,0.00012825500439108846
