metric,value
count,44972904
mean,-0.25189048051834106
median,-0.1776123046875
std,0.7015771865844727
min,-14.54998779296875
max,13.0152587890625
p01,-3.460212478637695
p05,-0.5516738891601562
p10,-0.29662322998046875
p25,-0.20584869384765625
p75,-0.15155029296875
p90,-0.1069488525390625
p95,-0.0194854736328125
p99,0.6713485717773438
mean_absolute_error,0.30091989040374756
median_absolute_difference,0.17978668212890625
rmse,0.7454258894437212
positive_pixels,2042745
negative_pixels,42930087
zero_pixels_exact,72
positive_fraction,0.04542168324286997
negative_fraction,0.9545767157931362
within_abs_threshold_fraction,"{""0.01"": 0.004193725181722755, ""0.05"": 0.022701158012833685, ""0.10"": 0.06043176575833306, ""0.25"": 0.8419591049757428, ""0.50"": 0.9325900991405848, ""1.00"": 0.9632131382932265}"
